2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/14:41:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/14:43:50		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/14:44:06		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/14:44:07		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/14:44:08		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/14:44:09		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/14:44:10		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/14:44:11		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/14:44:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/15:10:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/15:10:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/15:10:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/15:10:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/15:10:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/15:10:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/15:10:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/15:10:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/15:10:50		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-30/10:18:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-30/10:18:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-30/10:18:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-30/10:18:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-30/10:18:27		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-30/10:18:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-30/10:18:28		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-30/10:18:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-30/10:18:29		 wafer_29012020_050617.csv: File Transformed successfully!!
